Unit,T24,T30,T50,P15,P30,Ps30,phi,NRf,NRc,BPR,htBleed,w31,w32,RUL
1,641.91,1584.83,1400.99,21.61,554.25,47.24,522.41,2388.06,8133.06,8.4189,393,38.93,23.3597,163
1,642.2,1593.52,1396.08,21.61,554.37,47.4,522.19,2388.0,8137.86,8.4065,390,39.05,23.411,162
1,642.02,1584.18,1396.9,21.61,554.13,47.41,521.95,2388.06,8125.28,8.4104,392,38.94,23.3353,161
1,642.33,1591.38,1400.36,21.61,554.96,47.25,521.92,2388.07,8129.7,8.4148,392,39.02,23.4999,160
1,642.71,1588.4,1402.43,21.61,554.61,47.28,521.91,2388.08,8134.42,8.3753,392,38.83,23.3506,159
1,642.54,1581.47,1400.48,21.61,554.3,47.47,521.7,2388.09,8126.61,8.4349,392,38.81,23.3092,158
1,642.44,1590.0,1403.0,21.61,554.3,47.31,521.75,2388.01,8140.17,8.443,391,39.13,23.4164,157
1,642.54,1581.72,1405.54,21.61,554.53,47.25,522.32,2388.04,8132.48,8.4246,392,38.86,23.4308,156
1,641.99,1579.11,1398.9,21.61,554.63,47.29,522.29,2388.04,8131.95,8.4142,392,38.99,23.4352,155
1,641.93,1589.6,1399.5,21.61,554.7,47.27,522.42,2388.08,8136.61,8.4158,392,39.06,23.4768,154
1,642.01,1583.21,1400.69,21.61,553.97,47.12,522.23,2388.05,8131.81,8.414,392,38.7,23.3699,153
1,642.24,1582.08,1401.77,21.61,554.57,47.33,521.84,2388.01,8131.03,8.3784,392,38.84,23.3769,152
1,642.4,1591.31,1403.21,21.61,553.72,47.09,522.07,2388.03,8138.08,8.437,392,39.13,23.4444,151
1,642.12,1584.66,1401.38,21.61,553.94,47.49,522.23,2388.05,8130.88,8.4137,392,39.0,23.375,150
1,642.24,1591.52,1406.05,21.61,553.68,47.32,522.74,2388.09,8127.22,8.4068,392,38.99,23.3148,149
1,641.93,1586.94,1401.2,21.61,554.15,47.45,522.3,2388.0,8131.45,8.4201,392,39.06,23.4753,148
1,642.53,1582.42,1399.16,21.61,553.83,47.45,521.73,2388.05,8128.31,8.4099,393,38.79,23.3943,147
1,642.43,1588.29,1401.27,21.61,553.76,47.2,522.02,2388.08,8128.71,8.3977,393,38.93,23.3745,146
1,642.21,1580.32,1402.89,21.61,554.38,47.22,521.84,2388.05,8126.21,8.3973,392,38.99,23.4873,145
1,641.89,1588.51,1399.16,21.61,554.02,47.4,521.91,2388.06,8129.99,8.4376,392,38.94,23.365,144
1,642.23,1584.35,1397.76,21.61,554.23,47.22,521.37,2388.04,8135.48,8.4151,392,39.06,23.4498,143
1,642.77,1588.49,1403.62,21.61,553.92,47.47,522.33,2388.09,8127.3,8.4116,392,38.85,23.4106,142
1,642.81,1585.54,1400.42,21.61,553.73,47.12,521.91,2388.05,8134.36,8.4504,393,38.94,23.3651,141
1,642.76,1583.77,1395.57,21.61,553.04,47.07,522.1,2388.07,8132.82,8.4539,391,39.0,23.3388,140
1,642.61,1579.82,1402.26,21.61,554.16,47.29,521.96,2388.06,8134.38,8.4418,392,38.9,23.3775,139
1,642.42,1592.59,1401.2,21.61,553.95,47.38,522.44,2388.06,8129.95,8.4189,392,38.96,23.2348,138
1,642.41,1584.95,1401.58,21.61,554.45,47.4,522.11,2388.02,8134.1,8.4071,392,39.06,23.3567,137
1,642.49,1586.33,1400.76,21.61,553.98,47.26,522.48,2388.04,8135.4,8.4022,391,38.68,23.3408,136
1,642.13,1583.67,1402.79,21.61,553.42,47.29,521.62,2388.08,8135.48,8.4263,392,38.84,23.3567,135
1,641.9,1590.46,1397.99,21.61,554.14,47.26,522.21,2388.04,8132.08,8.4319,390,38.93,23.2893,134
1,642.33,1596.72,1403.51,21.61,554.62,47.26,521.32,2388.02,8128.81,8.4476,392,38.92,23.4444,133
1,642.34,1582.75,1403.07,21.61,554.0,47.41,522.49,2388.03,8132.89,8.3878,393,38.89,23.387,132
1,642.1,1583.55,1405.52,21.61,554.09,47.31,522.34,2388.09,8131.66,8.4264,391,38.89,23.3638,131
1,642.17,1581.59,1399.54,21.61,554.45,47.28,522.19,2388.1,8132.28,8.4071,391,39.03,23.2707,130
1,642.6,1592.14,1395.38,21.61,553.48,47.51,521.56,2388.01,8130.73,8.4357,394,38.77,23.3436,129
1,642.23,1584.51,1400.11,21.61,553.88,47.45,521.82,2388.04,8128.15,8.4066,391,38.93,23.384,128
1,642.28,1584.72,1403.24,21.61,553.97,47.56,521.54,2388.13,8132.94,8.4406,392,38.9,23.3752,127
1,642.5,1588.5,1399.52,21.61,554.0,47.14,521.76,2388.05,8128.32,8.3911,391,38.95,23.3152,126
1,642.33,1590.22,1403.02,21.61,554.31,47.39,522.64,2388.08,8134.07,8.3925,393,38.97,23.291,125
1,642.51,1582.06,1404.42,21.61,554.04,47.36,521.72,2388.07,8132.39,8.4242,392,38.95,23.3174,124
1,642.44,1590.7,1401.24,21.61,554.65,47.41,522.22,2388.1,8129.13,8.4292,392,39.0,23.3742,123
1,642.22,1584.02,1402.78,21.61,554.01,47.41,521.93,2388.12,8130.36,8.4279,392,38.86,23.4513,122
1,642.21,1580.41,1403.09,21.61,554.06,47.3,521.72,2388.09,8134.28,8.423,391,38.8,23.3881,121
1,642.41,1579.25,1406.81,21.61,553.76,47.27,521.97,2388.09,8133.95,8.3951,391,38.84,23.3085,120
1,642.29,1592.04,1397.93,21.61,553.88,47.29,522.04,2388.1,8129.85,8.404,391,39.03,23.3975,119
1,642.96,1584.65,1401.48,21.61,554.03,47.58,522.25,2387.97,8132.67,8.4135,392,38.8,23.382,118
1,641.96,1582.32,1394.82,21.61,553.6,47.22,521.77,2388.11,8130.13,8.4621,392,38.89,23.3521,117
1,642.21,1589.21,1398.94,21.61,553.66,47.44,521.58,2388.03,8136.44,8.3996,390,39.02,23.4428,116
1,642.55,1586.3,1400.97,21.61,554.61,47.41,521.6,2388.08,8135.25,8.453,393,38.99,23.275,115
1,641.99,1580.76,1404.1,21.61,553.47,47.4,522.28,2388.16,8133.91,8.3793,392,38.88,23.3486,114
1,642.12,1582.46,1403.93,21.61,553.77,47.35,521.85,2388.13,8135.4,8.4132,394,38.9,23.3121,113
1,641.94,1591.96,1393.58,21.61,553.91,47.64,521.52,2388.1,8134.66,8.4235,392,38.89,23.3613,112
1,642.73,1584.82,1402.04,21.61,553.88,47.43,521.66,2388.05,8128.87,8.4247,392,38.77,23.373,111
1,642.04,1589.07,1399.17,21.61,554.18,47.25,521.95,2388.03,8134.04,8.3986,393,38.89,23.2713,110
1,642.66,1588.05,1406.38,21.61,553.49,47.22,521.93,2388.05,8131.32,8.4128,391,38.8,23.3274,109
1,642.64,1585.52,1406.6,21.61,553.91,47.38,521.54,2388.06,8131.54,8.4139,392,38.73,23.2653,108
1,642.28,1590.12,1405.96,21.61,554.4,47.36,522.3,2388.05,8135.31,8.4499,392,39.01,23.284,107
1,641.84,1588.8,1403.56,21.61,553.69,47.38,521.82,2388.09,8130.06,8.4173,394,38.94,23.3945,106
1,642.33,1586.69,1413.1,21.61,554.1,47.34,521.43,2388.06,8130.41,8.4326,391,38.88,23.3402,105
1,641.96,1581.29,1406.09,21.61,554.48,47.46,522.2,2388.04,8131.47,8.4586,392,38.9,23.3086,104
1,642.24,1584.73,1402.22,21.61,553.91,47.46,521.55,2388.08,8135.15,8.4489,392,38.95,23.3288,103
1,642.67,1584.38,1412.93,21.61,552.88,47.32,521.49,2388.09,8129.72,8.3961,391,38.98,23.4712,102
1,641.98,1584.84,1404.76,21.61,553.54,47.32,521.55,2388.1,8134.4,8.3949,394,39.11,23.3842,101
1,642.89,1590.03,1400.77,21.61,553.81,47.45,521.91,2388.05,8131.39,8.3982,392,38.99,23.3522,100
1,642.85,1593.74,1408.48,21.61,554.07,47.46,521.43,2388.08,8133.15,8.421,392,38.86,23.2477,99
1,642.45,1583.27,1404.94,21.61,553.86,47.48,521.61,2388.07,8132.4,8.4524,393,38.85,23.3758,98
1,642.86,1577.6,1410.1,21.61,553.91,47.38,521.92,2388.02,8131.63,8.4575,394,38.76,23.3269,97
1,642.19,1584.07,1395.16,21.61,553.34,47.39,521.66,2388.06,8130.69,8.4311,392,38.88,23.3255,96
1,642.07,1595.77,1407.81,21.61,553.4,47.46,521.67,2388.06,8128.74,8.4105,392,39.01,23.2963,95
1,642.0,1591.11,1404.56,21.61,552.75,47.37,522.31,2388.06,8127.89,8.4012,391,38.96,23.2554,94
1,642.46,1592.73,1406.13,21.61,553.76,47.4,521.42,2388.1,8131.77,8.4481,393,38.82,23.2323,93
1,642.22,1589.63,1411.35,21.61,554.22,47.64,521.55,2388.08,8132.49,8.4241,392,38.93,23.409,92
1,642.75,1584.18,1403.41,21.61,553.37,47.62,521.89,2388.08,8125.97,8.4353,391,38.75,23.4149,91
1,642.85,1589.11,1403.42,21.61,553.42,47.49,521.38,2388.05,8130.4,8.4561,393,38.94,23.3653,90
1,642.21,1581.27,1403.21,21.61,553.64,47.57,521.41,2388.1,8124.4,8.4263,392,38.69,23.4289,89
1,642.29,1590.63,1406.25,21.61,553.66,47.34,522.38,2388.09,8131.89,8.4021,392,38.96,23.3393,88
1,642.01,1588.28,1403.22,21.61,553.11,47.31,521.81,2388.08,8134.01,8.4326,393,38.77,23.3857,87
1,642.68,1589.05,1404.45,21.61,553.6,47.44,521.51,2388.09,8126.38,8.4664,392,39.08,23.4148,86
1,642.53,1595.13,1407.73,21.61,553.74,47.35,521.75,2388.07,8132.4,8.4241,396,39.01,23.4086,85
1,643.49,1585.91,1399.47,21.61,554.43,47.61,521.52,2388.03,8131.52,8.4133,393,38.75,23.3032,84
1,642.49,1586.45,1409.1,21.61,553.59,47.58,521.62,2388.11,8130.97,8.3757,394,39.05,23.3561,83
1,642.55,1590.01,1401.27,21.61,554.08,47.55,522.01,2388.12,8127.16,8.4638,393,39.06,23.2951,82
1,642.67,1584.38,1408.11,21.61,553.49,47.62,521.53,2388.14,8132.4,8.4447,392,38.92,23.2135,81
1,642.66,1586.46,1401.84,21.61,553.19,47.22,521.9,2388.08,8131.52,8.4445,394,38.84,23.3207,80
1,642.68,1590.85,1406.59,21.61,552.91,47.46,521.75,2388.16,8129.32,8.458,393,38.9,23.3101,79
1,642.31,1588.42,1402.97,21.61,554.29,47.58,521.68,2388.15,8132.36,8.429,394,38.89,23.3754,78
1,642.66,1594.84,1406.6,21.61,554.13,47.43,521.36,2388.12,8127.6,8.4345,393,38.93,23.3022,77
1,642.64,1580.31,1401.99,21.61,554.4,47.43,521.6,2388.05,8134.46,8.4059,394,39.03,23.3512,76
1,642.38,1589.77,1409.35,21.61,554.59,47.52,521.22,2388.1,8126.12,8.4256,391,38.73,23.1766,75
1,642.34,1585.67,1409.34,21.61,554.25,47.55,521.31,2388.12,8135.21,8.4197,393,38.88,23.2966,74
1,642.67,1596.8,1404.46,21.61,553.77,47.55,521.46,2388.09,8123.85,8.4194,394,39.01,23.3188,73
1,642.81,1593.78,1407.68,21.61,553.66,47.6,521.34,2388.1,8125.57,8.4029,393,38.81,23.3061,72
1,642.63,1593.56,1411.9,21.61,553.7,47.44,521.3,2388.04,8133.94,8.4263,394,38.63,23.422,71
1,643.3,1593.68,1413.97,21.61,553.43,47.6,520.92,2388.12,8131.81,8.4256,393,38.86,23.2793,70
1,643.39,1586.66,1403.04,21.61,552.64,47.41,521.6,2388.17,8129.72,8.4396,392,38.9,23.292,69
1,642.48,1587.14,1402.28,21.61,552.26,47.55,521.4,2388.13,8133.82,8.4416,393,38.8,23.2341,68
1,642.96,1585.47,1406.42,21.61,552.44,47.63,521.57,2388.11,8126.33,8.4079,394,38.68,23.3039,67
1,642.49,1582.64,1418.5,21.61,553.72,47.49,521.35,2388.08,8130.94,8.4378,392,38.85,23.2289,66
1,642.99,1586.9,1399.49,21.61,553.81,47.63,521.34,2388.1,8133.0,8.4626,393,38.91,23.2772,65
1,642.47,1593.87,1407.06,21.61,552.74,47.62,521.96,2388.16,8132.08,8.4413,393,38.85,23.2641,64
1,642.41,1591.33,1408.42,21.61,552.42,47.61,522.02,2388.13,8127.33,8.4681,393,38.84,23.2656,63
1,642.7,1585.9,1412.25,21.61,552.66,47.46,521.49,2388.07,8125.29,8.3938,394,38.71,23.3461,62
1,643.01,1585.78,1413.25,21.61,553.7,47.7,521.45,2388.13,8126.38,8.4328,391,38.73,23.3435,61
1,643.19,1596.06,1405.76,21.61,553.16,47.56,521.64,2388.16,8128.92,8.4227,393,38.53,23.3186,60
1,642.45,1592.64,1410.11,21.61,553.82,47.57,521.23,2388.09,8130.93,8.4604,394,38.95,23.2521,59
1,642.85,1583.62,1402.67,21.61,553.2,47.75,521.52,2388.13,8131.3,8.4293,393,38.68,23.2833,58
1,642.45,1585.55,1406.83,21.61,553.09,47.34,520.99,2388.12,8129.34,8.4242,392,38.85,23.2744,57
1,642.84,1584.72,1404.39,21.61,554.18,47.43,521.54,2388.11,8130.43,8.4469,393,38.76,23.1699,56
1,642.43,1594.69,1405.15,21.61,553.39,47.89,521.63,2388.12,8128.81,8.449,394,38.87,23.2593,55
1,642.79,1589.82,1413.34,21.61,552.91,47.4,521.57,2388.18,8129.67,8.4208,392,39.0,23.3664,54
1,643.11,1592.28,1412.6,21.61,553.25,47.67,521.03,2388.15,8124.97,8.4621,394,38.88,23.3422,53
1,643.05,1590.89,1408.36,21.61,552.15,47.51,521.27,2388.05,8130.27,8.4397,393,38.82,23.3704,52
1,642.39,1590.02,1415.25,21.61,553.45,47.49,521.06,2388.16,8120.93,8.4641,394,39.02,23.2382,51
1,642.51,1595.29,1413.42,21.61,553.11,47.59,520.44,2388.18,8124.87,8.4291,392,38.71,23.2816,50
1,642.77,1593.1,1404.21,21.61,553.62,47.52,520.98,2388.11,8126.81,8.4419,393,38.79,23.2305,49
1,643.09,1591.89,1405.76,21.61,553.77,47.57,521.11,2388.17,8125.47,8.4601,393,38.75,23.2249,48
1,642.95,1594.92,1409.63,21.61,553.03,47.54,521.13,2388.15,8130.91,8.4644,395,38.67,23.149,47
1,642.72,1586.75,1408.82,21.61,552.6,47.63,521.13,2388.12,8129.19,8.4312,392,38.69,23.3233,46
1,642.25,1594.85,1409.96,21.61,553.09,47.8,520.92,2388.12,8126.13,8.4428,393,38.77,23.2684,45
1,643.02,1590.03,1411.89,21.61,552.84,47.49,521.08,2388.15,8124.48,8.4276,392,38.77,23.2498,44
1,642.9,1592.78,1410.7,21.61,552.54,47.83,521.13,2388.15,8124.34,8.4731,394,38.77,23.2565,43
1,643.06,1589.01,1409.22,21.61,553.57,47.6,520.5,2388.21,8122.99,8.4726,394,38.68,23.2082,42
1,642.82,1592.39,1411.94,21.61,552.41,47.58,520.94,2388.22,8127.21,8.4612,394,38.56,23.2277,41
1,642.67,1598.6,1420.83,21.61,552.62,47.72,520.39,2388.19,8119.0,8.4572,395,38.77,23.2369,40
1,642.99,1589.17,1414.56,21.61,552.68,47.74,520.69,2388.17,8124.14,8.4435,393,38.78,23.1719,39
1,642.81,1597.03,1416.07,21.61,552.57,47.73,520.72,2388.18,8129.24,8.4794,394,38.82,23.2366,38
1,642.83,1590.4,1414.89,21.61,552.89,47.61,521.23,2388.17,8120.41,8.4729,394,38.68,23.2749,37
1,643.04,1585.61,1421.23,21.61,553.24,47.58,520.75,2388.16,8128.48,8.4432,395,38.77,23.2791,36
1,642.2,1598.04,1412.47,21.61,552.32,47.72,520.94,2388.17,8125.07,8.4328,392,38.67,23.2354,35
1,642.88,1596.82,1410.09,21.61,553.19,47.68,520.88,2388.22,8126.33,8.4368,394,38.75,23.2894,34
1,642.89,1589.54,1420.37,21.61,552.18,47.76,520.65,2388.23,8127.61,8.4403,394,38.76,23.253,33
1,643.45,1590.65,1418.08,21.61,551.87,47.84,520.47,2388.22,8122.68,8.4433,396,38.52,23.2817,32
1,643.0,1594.2,1417.31,21.61,552.8,47.77,520.47,2388.18,8126.97,8.4405,394,38.66,23.2962,31
1,643.15,1592.22,1423.48,21.61,552.68,47.79,520.44,2388.2,8123.77,8.5015,394,38.78,23.1538,30
1,642.85,1600.54,1421.09,21.61,552.41,47.89,520.3,2388.2,8124.06,8.5129,393,38.65,23.1419,29
1,643.17,1598.96,1416.76,21.61,551.9,47.7,520.63,2388.28,8124.63,8.4803,394,38.62,23.1761,28
1,642.76,1597.03,1408.09,21.61,552.79,47.89,520.69,2388.24,8126.53,8.4922,393,38.59,23.2129,27
1,643.34,1596.72,1422.37,21.61,552.13,47.86,520.02,2388.22,8119.14,8.4663,395,38.62,23.145,26
1,643.02,1593.83,1414.72,21.61,552.57,47.85,520.49,2388.18,8122.41,8.4632,394,38.77,23.3011,25
1,642.68,1591.19,1415.7,21.61,552.09,47.84,520.78,2388.19,8124.44,8.4925,393,38.76,23.277,24
1,643.2,1590.16,1418.05,21.61,552.71,47.88,520.44,2388.18,8125.3,8.4767,394,38.58,23.187,23
1,642.92,1592.71,1417.41,21.61,552.02,47.86,520.23,2388.26,8121.76,8.49,395,38.66,23.1615,22
1,643.26,1592.06,1414.99,21.61,552.71,48.03,519.85,2388.22,8124.87,8.4922,395,38.68,23.2444,21
1,643.33,1591.71,1413.73,21.61,551.69,48.07,520.54,2388.26,8120.08,8.4595,393,38.65,23.1585,20
1,642.97,1590.69,1425.27,21.61,552.13,47.9,520.11,2388.23,8121.64,8.5091,395,38.59,23.1789,19
1,642.64,1599.81,1422.58,21.61,552.32,48.0,520.22,2388.21,8119.17,8.4476,393,38.57,23.0357,18
1,643.61,1603.29,1422.52,21.61,551.64,47.86,520.38,2388.22,8125.76,8.489,394,38.58,23.1573,17
1,642.86,1592.27,1422.73,21.61,551.91,47.84,519.8,2388.2,8123.8,8.4853,394,38.72,23.2491,16
1,643.79,1602.02,1423.99,21.61,551.93,48.03,520.24,2388.23,8120.11,8.4779,396,38.63,23.1673,15
1,643.38,1605.33,1424.65,21.61,552.18,48.0,520.2,2388.2,8116.56,8.477,395,38.65,23.177,14
1,642.86,1592.56,1429.45,21.61,551.57,48.02,520.38,2388.18,8116.84,8.4947,395,38.77,23.1888,13
1,643.58,1599.87,1417.14,21.61,552.91,47.85,519.84,2388.28,8122.57,8.4737,395,38.86,23.007,12
1,643.44,1596.71,1420.64,21.61,551.83,48.1,520.43,2388.23,8114.79,8.472,397,38.34,23.1652,11
1,644.21,1602.08,1426.62,21.61,551.9,47.98,520.46,2388.25,8119.67,8.5158,397,38.43,23.1787,10
1,643.24,1597.23,1419.03,21.61,551.38,48.03,520.05,2388.23,8117.8,8.5041,396,38.56,23.1302,9
1,644.07,1605.44,1432.52,21.61,551.0,48.07,519.77,2388.28,8115.61,8.5133,395,38.43,23.0146,8
1,643.8,1603.46,1424.4,21.61,551.64,48.15,519.82,2388.27,8113.69,8.4984,395,38.51,23.07,7
1,643.51,1595.16,1426.3,21.61,552.57,48.12,520.08,2388.25,8123.45,8.5227,397,38.47,23.0564,6
1,643.32,1592.1,1427.27,21.61,551.08,48.23,519.53,2388.28,8115.67,8.5218,396,38.42,23.0822,5
1,643.75,1602.38,1422.78,21.61,551.94,48.0,519.79,2388.23,8117.69,8.5207,396,38.51,22.9588,4
1,644.18,1596.17,1428.01,21.61,550.7,48.08,519.58,2388.33,8117.51,8.5183,395,38.48,23.1127,3
1,643.64,1599.22,1425.95,21.61,551.29,48.33,520.04,2388.35,8112.58,8.5223,398,38.49,23.0675,2
1,643.34,1602.36,1425.77,21.61,550.92,48.15,519.57,2388.3,8114.61,8.5174,394,38.45,23.1295,1
1,643.54,1601.41,1427.2,21.61,551.25,48.25,520.08,2388.32,8110.93,8.5113,396,38.48,22.9649,0
2,641.89,1583.84,1391.28,21.6,554.53,46.93,522.33,2388.06,8137.72,8.3905,391,38.94,23.4585,286
2,641.82,1587.05,1393.13,21.61,554.77,47.24,522.7,2387.98,8131.09,8.4167,392,39.06,23.4085,285
2,641.55,1588.32,1398.96,21.6,555.14,47.22,522.58,2387.99,8140.58,8.3802,391,39.11,23.425,284
2,641.68,1584.15,1396.08,21.61,554.25,47.1,522.49,2387.93,8140.44,8.4018,391,39.13,23.5027,283
2,641.73,1579.03,1402.52,21.6,555.12,47.25,522.27,2387.94,8136.67,8.3867,390,39.18,23.4234,282
2,641.3,1577.5,1396.76,21.61,554.98,47.05,522.8,2387.99,8133.65,8.38,392,39.15,23.427,281
2,642.03,1587.49,1400.65,21.61,554.84,47.1,522.14,2388.04,8136.33,8.3941,391,39.1,23.4718,280
2,642.55,1590.41,1395.39,21.61,554.65,47.2,522.77,2387.96,8137.92,8.3861,391,39.11,23.4381,279
2,641.98,1581.99,1395.01,21.6,554.69,47.14,522.4,2387.98,8145.29,8.3868,390,39.06,23.4875,278
2,641.99,1586.37,1394.86,21.6,554.63,47.21,521.99,2387.97,8138.64,8.3982,391,39.2,23.6005,277
2,642.26,1589.21,1401.29,21.61,554.7,47.21,522.2,2388.03,8135.85,8.4188,392,39.23,23.3888,276
2,641.64,1579.99,1401.9,21.61,554.57,47.13,521.94,2387.97,8136.49,8.3925,392,39.12,23.4201,275
2,641.78,1586.77,1401.53,21.61,554.69,47.03,522.33,2387.99,8140.61,8.3742,391,38.88,23.4317,274
2,641.66,1584.04,1395.46,21.61,554.47,47.12,523.07,2387.98,8140.09,8.3887,391,38.93,23.4074,273
2,642.21,1579.84,1402.11,21.61,554.17,47.17,521.96,2388.02,8137.72,8.3704,393,38.94,23.4311,272
2,641.81,1581.99,1393.46,21.61,554.53,47.24,522.49,2387.95,8133.45,8.3805,392,39.01,23.4462,271
2,642.43,1583.58,1390.27,21.61,553.62,47.13,522.71,2388.08,8134.78,8.3714,391,39.04,23.5245,270
2,641.95,1588.43,1400.25,21.61,554.83,47.22,522.92,2388.0,8133.2,8.4053,391,39.0,23.4203,269
2,641.75,1576.84,1401.77,21.61,555.25,47.14,522.38,2387.98,8137.51,8.4035,392,39.1,23.4102,268
2,642.34,1582.94,1394.38,21.61,554.64,47.14,522.54,2387.94,8139.83,8.3698,391,39.02,23.3821,267
2,642.05,1579.51,1392.28,21.61,554.72,47.04,522.58,2388.01,8136.57,8.3954,391,39.24,23.5014,266
2,642.16,1580.18,1397.67,21.61,554.35,47.17,521.73,2388.04,8140.79,8.3792,391,38.98,23.4241,265
2,642.37,1580.89,1387.5,21.61,554.69,47.21,522.26,2388.07,8131.57,8.3937,393,39.1,23.2867,264
2,641.99,1580.97,1398.67,21.61,553.5,47.15,522.25,2387.97,8136.16,8.3866,391,39.18,23.3981,263
2,641.81,1585.38,1396.62,21.61,554.14,47.19,522.31,2388.03,8136.97,8.3959,391,38.99,23.4883,262
2,641.87,1575.38,1392.3,21.61,554.03,47.12,522.8,2388.0,8137.27,8.3472,391,38.96,23.4691,261
2,642.12,1585.44,1402.31,21.61,555.16,47.03,522.11,2388.06,8137.73,8.4077,392,38.96,23.4275,260
2,642.04,1581.6,1397.45,21.61,554.77,46.99,522.68,2387.93,8136.55,8.3734,390,38.95,23.4395,259
2,642.08,1583.78,1398.08,21.61,554.75,47.11,522.26,2388.02,8140.77,8.37,390,38.97,23.4249,258
2,641.78,1590.32,1395.07,21.61,554.62,47.2,522.43,2388.0,8136.63,8.419,391,39.1,23.3985,257
2,641.97,1579.86,1390.94,21.61,554.8,47.05,522.17,2388.04,8131.62,8.4393,391,39.17,23.4154,256
2,641.58,1584.52,1391.11,21.61,554.56,47.12,522.54,2387.98,8138.76,8.3783,390,38.97,23.4006,255
2,641.79,1585.17,1396.15,21.61,553.62,47.09,522.26,2387.99,8133.62,8.4102,392,39.01,23.4434,254
2,642.12,1584.08,1394.24,21.61,555.09,47.22,522.64,2387.96,8139.8,8.4188,390,38.87,23.4571,253
2,641.37,1575.73,1392.55,21.61,554.73,47.25,522.0,2388.0,8142.08,8.4164,394,39.06,23.5283,252
2,641.27,1581.56,1397.13,21.61,554.59,47.21,522.32,2388.0,8142.06,8.3709,391,39.12,23.3881,251
2,642.1,1585.63,1396.29,21.61,555.01,47.16,522.69,2388.02,8136.08,8.3609,391,39.08,23.4047,250
2,642.22,1585.15,1397.75,21.61,554.21,47.22,522.13,2388.05,8134.91,8.4069,390,39.09,23.4191,249
2,642.0,1585.69,1391.49,21.61,554.05,47.2,522.79,2388.05,8138.78,8.3755,391,39.02,23.4489,248
2,642.02,1582.69,1398.38,21.61,554.07,47.22,522.3,2388.01,8137.16,8.401,391,38.84,23.4402,247
